rank,title,artist,last_week,peak,duration
1,Blinding Lights,The Weeknd,1,1,18
2,The Box,Roddy Ricch,2,1,17
3,Don't Start Now,Dua Lipa,3,2,22
4,Circles,Post Malone,5,1,31
5,Life Is Good,Future Featuring Drake,6,2,12
6,Adore You,Harry Styles,7,6,17
7,Say So,Doja Cat,9,7,13
8,Intentions,Justin Bieber Featuring Quavo,8,8,8
9,everything i wanted,Billie Eilish,12,8,21
10,Someone You Loved,Lewis Capaldi,11,1,47
11,Roxanne,Arizona Zervas,10,4,22
12,Heartless,The Weeknd,4,1,19
13,Memories,Maroon 5,14,2,28
14,The Bones,Maren Morris,17,14,28
15,My Oh My,Camila Cabello Featuring DaBaby,18,15,17
16,Hot Girl Bummer,blackbear,13,11,29
17,Turks,"NAV, Gunna & Travis Scott",-,17,1
18,Savage,Megan Thee Stallion,20,18,3
19,Blueberry Faygo,Lil Mosey,37,19,8
20,Dance Monkey,Tones And I,15,4,26
21,Break My Heart,Dua Lipa,-,21,1
22,I Hope,Gabby Barrett,30,22,14
23,BELIEVE IT,PARTYNEXTDOOR & Rihanna,-,23,1
24,Ballin',Mustard & Roddy Ricch,23,11,37
25,Falling,Trevor Daniel,29,25,20
26,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,26,26,19
27,Stupid Love,Lady Gaga,27,5,5
28,"10,000 Hours",Dan + Shay & Justin Bieber,19,4,26
29,BOP,DaBaby,31,11,27
30,Heart On Ice,Rod Wave,43,30,21
31,High Fashion,Roddy Ricch Featuring Mustard,36,20,14
32,Nobody But You,Blake Shelton Duet With Gwen Stefani,44,32,12
33,Suicidal,YNW Melly & Juice WRLD,35,20,18
34,You should be sad,Halsey,33,26,12
35,No Guidance,Chris Brown Featuring Drake,34,5,43
36,Chasin' You,Morgan Wallen,53,36,10
37,Slow Dance In A Parking Lot,Jordan Davis,49,37,13
38,Homesick,Kane Brown,40,35,20
39,Roses (Imanbek Remix),SAINt JHN,55,39,2
40,Catch,Brett Young,61,40,10
41,I Love Me,Demi Lovato,48,18,4
42,In Your Eyes,The Weeknd,16,16,2
43,death bed,Powfu Featuring beabadoobee,59,43,3
44,More Hearts Than Mine,Ingrid Andress,56,44,14
45,Slide,H.E.R. Featuring YG,51,45,15
46,Woah,Lil Baby,42,15,21
47,Godzilla,Eminem Featuring Juice WRLD,38,3,11
48,BEST ON EARTH,Russ & BIA,52,46,17
49,WHATS POPPIN,Jack Harlow,57,48,8
50,What She Wants Tonight,Luke Bryan,46,46,15
51,Homemade,Jake Owen,50,39,10
52,Sunday Best,Surfaces,62,52,5
53,Yo Perreo Sola,Bad Bunny,-,53,3
54,Dior,Pop Smoke,58,30,7
55,Sum 2 Prove,Lil Baby,60,16,12
56,Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,68,56,3
57,Walk Em Down,NLE Choppa Featuring Roddy Ricch,94,57,2
58,I Hope You're Happy Now,Carly Pearce & Lee Brice,64,58,13
59,Does To Me,Luke Combs Featuring Eric Church,63,59,3
60,Loyal,PARTYNEXTDOOR Featuring Drake,-,60,3
61,After Hours,The Weeknd,22,20,6
62,Supalonely,BENEE Featuring Gus Dapperton,71,62,3
63,Myron,Lil Uzi Vert,54,13,3
64,Tusa,Karol G & Nicki Minaj,66,42,18
65,P*$$y Fairy (OTW),Jhene Aiko,67,40,11
66,Before You Go,Lewis Capaldi,77,66,9
67,Come Thru,Summer Walker & Usher,88,42,14
68,Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,90,68,10
69,Underdog,Alicia Keys,-,69,2
70,The Other Side,SZA X Justin Timberlake,79,61,5
71,Know Your Worth,Khalid x Disclosure,82,57,8
72,OUT WEST,JACKBOYS Featuring Young Thug,78,38,12
73,Emotionally Scarred,Lil Baby,89,31,5
74,Oprah's Bank Account,"Lil Yachty, Drake & DaBaby",75,55,4
75,P2,Lil Uzi Vert,70,11,4
76,B.I.T.C.H.,Megan Thee Stallion,81,31,8
77,Physical,Dua Lipa,-,60,2
78,After A Few,Travis Denning,-,78,1
79,That Way,Lil Uzi Vert,73,20,5
80,B.S.,Jhene Aiko Featuring H.E.R.,76,24,4
81,I Love My Country,Florida Georgia Line,-,81,1
82,Grace,Lil Baby & 42 Dugg,85,48,5
83,Make No Sense,YoungBoy Never Broke Again,96,57,20
84,Yummy,Justin Bieber,83,2,13
85,Save Your Tears,The Weeknd,41,41,2
86,Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow",-,81,3
87,La Dificil,Bad Bunny,100,33,5
88,Ridin' Roads,Dustin Lynch,-,47,18
89,Si Veo A Tu Mama,Bad Bunny,92,32,5
90,The Man,Taylor Swift,-,23,6
91,Hard To Forget,Sam Hunt,-,91,1
92,Go Stupid,Polo G Featuring NLE Choppa & Stunna 4 Vegas,98,60,7
93,Last Time I Say Sorry,Kane Brown & John Legend,-,93,1
94,What A Man Gotta Do,Jonas Brothers,72,16,11
95,Heatin Up,Lil Baby & Gunna,91,18,5
96,If The World Was Ending,JP Saxe Featuring Julia Michaels,-,96,1
97,Vete,Bad Bunny,99,33,18
98,Baby Pluto,Lil Uzi Vert,74,6,4
99,Into The Unknown,Idina Menzel & AURORA,97,46,12
100,July,Noah Cyrus Featuring Leon Bridges,-,91,5
